,출발지 행정동
62432, 삼덕동 
62889, 수성동2가(수성2.3가동)
62897,  >> 
63014, 내동
65541, 미대동
66453, 월암동
66559, 고산2길 
69072, 금호동 
69309, 달서구 성당동 
69337, 달구벌대로337길 
69551, 계대동문로 
69576, 큰골1길 
70261, 이곡2동
70374, 상원로 
71035, 팔거천동로26길 
72718, 원대동2가 
73365, 명덕로20길 
73517, 대명남로 
73958, 구지면 내리
74480, 이곡동로 
75280, 구마로 
75319, 방천로7길 
76587, 달구벌대로489안길 
76899, 청수로45길 
77564, 팔공로29길 
77735, 동대구로29길 
78289, 무학로33길 
78477, 도평로 
78650, 유가면 쌍계리
80293, 다사읍 이천리
80556, 70 
80577, 향촌동 
80966, 선원로 
81189, 동부로30길 
81370, 구지면 대암리
81453, 대명4동 
81768, 화랑로38길 
82201, 상리동(상중이동)
82531, 달서로12길 
82577, 서구 내당동 
84328, 동인동1가(동인동)
84634, 가창면 정대리
84953, 원대동3가(원대동)
84988, 학산로 
85090, 계명중앙1길 
86242, 종로1가 
86364, 방천로6길 
87988, 달서구 진천동 
88172, 이곡동(이곡1동)
88518, 달서천로59길 
88705, 계산동1가 
88860, 효동로 
89105, 금강동 
89110, 삼덕동3가(삼덕동)
89284, 들안로
89856, 검단로 
91803, 수성구 수성동4가 
91842, 동대구로14길 
92002, 달서로 
92144, 범어2동 
92418, 동인동2가(동인동)
92716, (대구광장지점) 
93129, 지범로 
93279, 하서동
93699, 월곡로47길 
95747, 이현동(상중이동)
95771, 수성로57길 
95855, 유니버시아드로 
96045, 희망로 
96238, 송현로30길 
96798, 지범로31안길 
97174, 옥포면 본리리
97541, 범어4동 
97583, 18 
99461, 앞산순환로89길 
100261, 봉무동(불로.봉무동)
101339, 지산동(지산2동)
101640, 충의로4길 
101973, 동인동3가 
103129, 달서로28길 
103173, 명덕로2길 
104442, 유가읍 쌍계리
104481, 범어천로 
104701, 율하동로26길 
104842, 교학로11길 
105339, 통학로18길 
105832, 아양로41길 
105898, 통학로16길 
107246, 대명남2길 
107511, 복현동(복현2동)
107603, 태암남로11길 
107789, 노원로 
108915, >장기 
109154, 파동로2길 
110865, 성당로
111075, 범물1동 
112069, 둔산동
112448, 국채보상로69길 
112836, 두류공원로17길 
114602, 중흥로13길 
114692, 상덕동 
115858, 금강동
116312, 산격동(산격2동)
116663, 본점 
116856, 동대구로
118588, 안심로 
118622, 북비산로67길 
118624, 송현1동 
118635, 구지면 고봉리
118701, 황금동(황금1동)
118904, 대림로
119613, 효행로2길 
119826, 동촌로 
120376, 대현로17길 
120733, 두류공원로13길 
122232, 북비산로
122968, 옥포면 교항리
123475, 현충로16길 
124308, 달서대로 
126212, 서성로14길 
126345, 월배로68안길 
126684, 당산로41길 
127097, 상덕동
